date;USD; MERV ; MERV_USD ;CRISIS
3/1/2000;$ 1.00; 551.83 ; 551.83 ;0
4/1/2000;$ 1.00; 522.97 ; 522.97 ;0
5/1/2000;$ 1.00; 532.68 ; 532.68 ;0
6/1/2000;$ 1.00; 528.47 ; 528.47 ;0
7/1/2000;$ 1.00; 522.12 ; 522.12 ;0
10/1/2000;$ 1.00; 519.97 ; 519.97 ;0
11/1/2000;$ 1.00; 520.89 ; 520.89 ;0
12/1/2000;$ 1.00; 518.70 ; 518.70 ;0
13/1/2000;$ 1.00; 560.07 ; 560.07 ;0
14/1/2000;$ 1.00; 566.08 ; 566.08 ;0
17/1/2000;$ 1.00; 567.74 ; 567.74 ;0
18/1/2000;$ 1.00; 577.90 ; 577.90 ;0
19/1/2000;$ 1.00; 581.52 ; 581.52 ;0
20/1/2000;$ 1.00; 578.77 ; 578.77 ;0
21/1/2000;$ 1.00; 570.00 ; 570.00 ;0
24/1/2000;$ 1.00; 568.17 ; 568.17 ;0
25/1/2000;$ 1.00; 563.50 ; 563.50 ;0
26/1/2000;$ 1.00; 581.90 ; 581.90 ;0
27/1/2000;$ 1.00; 580.60 ; 580.60 ;0
28/1/2000;$ 1.00; 568.75 ; 568.75 ;0
31/1/2000;$ 1.00; 566.28 ; 566.28 ;0
1/2/2000;$ 1.00; 574.00 ; 574.00 ;0
2/2/2000;$ 1.00; 576.68 ; 576.68 ;0
3/2/2000;$ 1.00; 590.11 ; 590.11 ;0
4/2/2000;$ 1.00; 599.13 ; 599.13 ;0
7/2/2000;$ 1.00; 605.56 ; 605.56 ;0
8/2/2000;$ 1.00; 619.55 ; 619.55 ;0
9/2/2000;$ 1.00; 619.34 ; 619.34 ;0
10/2/2000;$ 1.00; 640.63 ; 640.63 ;0
11/2/2000;$ 1.00; 637.03 ; 637.03 ;0
14/2/2000;$ 1.00; 634.09 ; 634.09 ;0
15/2/2000;$ 1.00; 630.70 ; 630.70 ;0
16/2/2000;$ 1.00; 629.52 ; 629.52 ;0
17/2/2000;$ 1.00; 630.21 ; 630.21 ;0
18/2/2000;$ 1.00; 618.70 ; 618.70 ;0
21/2/2000;$ 1.00; 621.83 ; 621.83 ;0
22/2/2000;$ 1.00; 621.47 ; 621.47 ;0
23/2/2000;$ 1.00; 626.69 ; 626.69 ;0
24/2/2000;$ 1.00; 636.22 ; 636.22 ;0
25/2/2000;$ 1.00; 636.39 ; 636.39 ;0
28/2/2000;$ 1.00; 634.60 ; 634.60 ;0
29/2/2000;$ 1.00; 631.64 ; 631.64 ;0
1/3/2000;$ 1.00; 627.41 ; 627.41 ;0
2/3/2000;$ 1.00; 639.37 ; 639.37 ;0
3/3/2000;$ 1.00; 645.29 ; 645.29 ;0
6/3/2000;$ 1.00; 630.49 ; 630.49 ;0
7/3/2000;$ 1.00; 617.78 ; 617.78 ;0
